iter	Passed	Remaining
289	54365	58114
290	54566	57941
291	54735	57734
292	54927	57551
293	55122	57371
294	55321	57197
295	55506	57007
296	55718	56844
297	55933	56683
298	56137	56512
299	56311	56311
300	56499	56123
301	56685	55934
302	56852	55726
303	57050	55549
304	57255	55377
305	57445	55192
306	57612	54985
307	57820	54817
308	58042	54661
309	58240	54483
310	58434	54301
311	58643	54132
312	58827	53940
313	59028	53764
314	59241	53599
315	59416	53399
316	59651	53253
317	59839	53065
318	60017	52868
319	60232	52703
320	60413	52508
321	60602	52321
322	60793	52136
323	60979	51945
324	61158	51749
325	61332	51549
326	61528	51368
327	61711	51175
328	61876	50968
329	62057	50774
330	62210	50557
331	62406	50376
332	62588	50183
333	62820	50030
334	63050	49876
335	63239	49687
336	63426	49499
337	63627	49320
338	63794	49116
339	63986	48930
340	64153	48726
341	64353	48547
342	64545	48361
343	64710	48156
344	64903	47972
345	65110	47798
346	65313	47620
347	65489	47423
348	65697	47249
349	65876	47054
350	66094	46887
351	66256	46680
352	66481	46517
353	66688	46342
354	66868	46148
355	67071	45970
356	67282	45796
357	67493	45624
358	67672	45429
359	67844	45229
360	68015	45029
361	68218	44850
362	68422	44672
363	68608	44482
364	68792	44290
365	68965	44092
366	69176	43918
367	69362	43728
368	69524	43523
369	69721	43340
370	69909	43151
371	70068	42945
372	70256	42756
373	70446	42569
374	70626	42376
375	70792	42174
376	70994	41993
377	71163	41794
378	71334	41596
379	71488	41388
380	71693	41209
381	71887	41024
382	72052	40823
383	72228	40628
384	72404	40433
385	72616	40258
386	72759	40046
387	72924	39845
388	73116	39659
389	73324	39482
390	73534	39306
391	73710	39111
392	73888	38918
393	74097	38741
394	74298	38560
395	74518	38388
396	74703	38198
397	74880	38004
398	75092	37828
399	75297	37648
400	75508	37471
401	75687	37279
402	75867	37086
403	76067	36904
404	76246	36711
405	76426	36518
406	76604	36325
407	76808	36145
408	77037	35976
409	77203	35777
410	77394	35589
411	77565	35394
412	77749	35203
413	77979	35034
414	78179	34851
415	78387	34671
416	78574	34482
417	78770	34297
418	78958	34108
419	79179	33933
420	79338	33733
421	79550	33554
422	79727	33360
423	79930	33178
424	80095	32980
425	80289	32794
426	80468	32602
427	80626	32401
428	80810	32211
429	80952	32004
430	81201	31839
431	81362	31640
432	81569	31459
433	81724	31258
434	81887	31060
435	82048	30862
436	82290	30694
437	82492	30510
438	82664	30316
439	82845	30125
440	83009	29928
441	83221	29749
442	83398	29556
443	83580	29366
444	83761	29175
445	83969	28994
446	84153	28804
447	84334	28613
448	84516	28423
449	84686	28228
450	84850	28032
451	85031	27842
452	85232	27658
453	85400	27463
454	85601	27279
455	85819	27100
456	86031	26920
457	86216	26730
458	86403	26542
459	86565	26346
460	86773	26163
461	86942	25969
462	87112	25776
463	87308	25590
464	87494	25401
465	87709	25221
466	87883	25028
467	88079	24842
468	88265	24654
469	88455	24466
470	88647	24279
471	88826	24088
472	88977	23890
473	89201	23711
474	89358	23515
475	89521	23320
476	89696	23129
477	89901	22945
478	90088	22757
479	90284	22571
480	90470	22382
481	90690	22202
482	90868	22011
483	91058	21823
484	91238	21633
485	91424	21445
486	91642	21264
487	91801	21069
488	91959	20874
489	92160	20689
490	92406	20513
491	92589	20324
492	92768	20134
493	92942	19943
494	93184	19766
495	93363	19576
496	93544	19386
497	93750	19201
498	93930	19012
499	94144	18828
500	94303	18634
501	94510	18450
502	94676	18257
503	94850	18066
504	95005	17872
505	95208	17687
506	95362	17492
507	95540	17302
508	95723	17113
509	95950	16932
510	96110	16739
511	96340	16558
512	96512	16367
513	96686	16177
514	96859	15986
515	97062	15800
516	97230	15609
517	97387	15416
518	97581	15229
519	97750	15038
520	97948	14852
521	98152	14666
522	98343	14478
523	98568	14296
524	98724	14103
525	98895	13913
526	99051	13720
527	99267	13536
528	99442	13346
529	99631	13158
530	99791	12967
531	99950	12775
532	100155	12589
533	100333	12400
534	100510	12211
535	100682	12021
536	100899	11837
537	101124	11653
538	101316	11466
539	101521	11280
540	101683	11089
541	101915	10906
542	102073	10714
543	102250	10525
544	102431	10337
545	102572	10144
546	102737	9954
547	102904	9764
548	103100	9577
549	103322	9392
550	103548	9208
551	103780	9024
552	103971	8836
553	104182	8650
554	104411	8465
555	104583	8276
556	104742	8086
557	104935	7898
558	105177	7714
559	105339	7524
560	105519	7335
561	105706	7147
562	105876	6958
563	106082	6771
564	106289	6584
565	106538	6399
566	106705	6210
567	106907	6022
568	107093	5834
569	107268	5645
570	107464	5457
571	107675	5270
572	107839	5081
573	108002	4892
574	108187	4703
575	108363	4515
576	108549	4326
577	108761	4139
578	108937	3951
579	109096	3761
580	109289	3573
581	109490	3386
582	109667	3197
583	109838	3009
584	110066	2822
585	110262	2634
586	110431	2445
587	110605	2257
588	110760	2068
589	110943	1880
590	111164	1692
591	111325	1504
592	111552	1316
593	111778	1129
594	111982	941
595	112180	752
596	112351	564
597	112535	376
598	112712	188
599	112886	0
