iter	Logloss
377	0.3235777789
378	0.3233819457
379	0.3232432261
380	0.3229973564
381	0.3228130566
382	0.3225977044
383	0.3223994491
384	0.3221234717
385	0.3216757085
386	0.3215059361
387	0.3213053035
388	0.3209709603
389	0.3206893868
390	0.3204163117
391	0.3201724436
392	0.3199757524
393	0.3197204063
394	0.319373731
395	0.3190760641
396	0.3188687582
397	0.3186697465
398	0.3184437693
399	0.3181697855
400	0.3178265621
401	0.3176245204
402	0.3173988504
403	0.3171131021
404	0.3167585279
405	0.3165642542
406	0.3163638366
407	0.3161189085
408	0.3157119125
409	0.3155921482
410	0.3154209735
411	0.3151106836
412	0.3149223795
413	0.3144997743
414	0.3142703606
415	0.3140305113
416	0.3137271798
417	0.3134840398
418	0.3132599432
419	0.3130187754
420	0.3128653985
421	0.3126091534
422	0.3124012468
423	0.3121708679
424	0.312039836
425	0.3118539184
426	0.3116306796
427	0.3114696982
428	0.3111798853
429	0.3110495051
430	0.3108422336
431	0.3106650405
432	0.310379647
433	0.3102747227
434	0.3101227658
435	0.3099644667
436	0.3096841071
437	0.3095061557
438	0.3093518799
439	0.3091695095
440	0.3090369598
441	0.3087343654
442	0.3085436518
443	0.3082755923
444	0.3080530354
445	0.3077669189
446	0.3076034378
447	0.3074315257
448	0.3071648049
449	0.3070052374
450	0.3068380722
451	0.3066583741
452	0.3064824394
453	0.3063426286
454	0.3059937394
455	0.3058007622
456	0.3055971464
457	0.3054249813
458	0.3052254394
459	0.3050351233
460	0.3047846657
461	0.3046373186
462	0.3044710297
463	0.3042124753
464	0.3040397456
465	0.3038580707
466	0.3035322067
467	0.303276028
468	0.3030658958
469	0.3028211581
470	0.3026192828
471	0.3024487806
472	0.3022986936
473	0.3020718888
474	0.3019105969
475	0.3017412524
476	0.3015580484
477	0.3012752348
478	0.3010891291
479	0.3007720496
480	0.3006229291
481	0.3004137877
482	0.300138734
483	0.2998334588
484	0.2997007355
485	0.2994876162
486	0.2992522831
487	0.2990835444
488	0.2989555638
489	0.2987389662
490	0.2984737544
491	0.298335799
492	0.2981728089
493	0.297966604
494	0.2976693863
495	0.2975159652
496	0.2973624203
497	0.2971448659
498	0.296926801
499	0.2966986355
500	0.2965760293
501	0.296334268
502	0.2961644332
503	0.2960410811
504	0.2959125146
505	0.2957040411
506	0.2956126118
507	0.2954380473
508	0.2951248308
509	0.2948697068
510	0.2946363724
511	0.2944038057
512	0.2942644176
513	0.2940749224
514	0.293942589
515	0.2937715275
516	0.2936492015
517	0.2935376715
518	0.2934213322
519	0.2932358801
520	0.2929783496
521	0.2927353256
522	0.2925136208
523	0.2922631369
524	0.2921687617
525	0.2920225488
526	0.2918654579
527	0.2916781085
528	0.2914527648
529	0.2912050813
530	0.291080534
531	0.2909620007
532	0.2907436466
533	0.2905229341
534	0.2904060763
535	0.2902875569
536	0.2899819245
537	0.289785582
538	0.2896530015
539	0.2893909644
540	0.2892456937
541	0.2889945635
542	0.2888745625
543	0.2886942753
544	0.288557473
545	0.2884708375
546	0.2882805089
547	0.2881056676
548	0.2878771677
549	0.2876703786
550	0.2874867267
551	0.2873446118
552	0.2872240553
553	0.2869833821
554	0.2867460184
555	0.2866101256
556	0.2864803779
557	0.2863055685
558	0.2860458697
559	0.2858985687
560	0.2857309734
561	0.2855314021
562	0.285329247
563	0.2850418224
564	0.2848778529
565	0.2846896405
566	0.2845417043
567	0.2843416477
568	0.284152269
569	0.2840090842
570	0.2838228315
571	0.2836769882
572	0.2835421819
573	0.283410365
574	0.2831927919
575	0.2830389121
576	0.2828300783
577	0.2826105505
578	0.2824986865
579	0.2823369449
580	0.2821975041
581	0.2819493002
582	0.2817894076
583	0.2815895648
584	0.2813820898
585	0.2812335501
586	0.2810516646
587	0.2809019342
588	0.2807916645
589	0.2806097937
590	0.280405463
591	0.2802406778
592	0.2800196675
593	0.2798742768
594	0.2796790969
595	0.2795440174
596	0.279380919
597	0.2791496555
598	0.2790275926
599	0.2788608417
